Dia;Hora;GHI;cantidad;GHI_prom
4.0;18.0;12963.802019207084;60;216.06336698678473
4.0;19.0;6606.870229007634;60;110.11450381679391
4.0;20.0;228.63826643683817;18;12.702125913157676
4.0;22.0;0.0;5;0.0
5.0;6.0;199.82762866289087;22;9.083074030131403
5.0;7.0;7264.343757695148;53;137.063089767833
5.0;8.0;21914.553065747354;60;365.2425510957892
5.0;9.0;36452.47475991136;60;607.5412459985226
5.0;10.0;49466.26446688007;60;824.4377411146678
5.0;11.0;59976.36050233933;60;999.6060083723222
5.0;12.0;47383.64934745135;43;1101.9453336616593
5.0;13.0;62628.66289091354;55;1138.7029616529735
5.0;14.0;45389.06673233193;41;1107.0504081056567
5.0;15.0;43424.15661167199;43;1009.8641072481859
5.0;16.0;29704.260034474264;36;825.1183342909518
5.0;17.0;24279.364688500365;40;606.9841172125091
5.0;18.0;13621.89115981285;41;332.24124780031343
5.0;19.0;4249.9384388081735;55;77.27160797833042
5.0;20.0;1.723713371090864;7;0.24624476729869488
6.0;6.0;140.11327259295737;19;7.374382768050388
6.0;7.0;6760.773208569315;54;125.19950386239472
6.0;8.0;21183.32922925387;60;353.0554871542312
6.0;9.0;35469.09628170401;60;591.1516046950669
6.0;10.0;36884.88057128786;46;801.8452298106057
6.0;11.0;32286.752031519325;33;978.3864251975554
6.0;12.0;39303.12730854468;36;1091.7535363484633
6.0;13.0;37242.05860625461;33;1128.547230492564
6.0;14.0;35044.32405811375;32;1095.1351268160547
6.0;15.0;36770.74612164491;37;993.8039492336462
6.0;16.0;33935.73011573504;42;807.9935741841675
6.0;17.0;16458.13838955922;28;587.7906567699721
6.0;18.0;12082.368874661412;37;326.5505101259841
6.0;19.0;3031.8886973651806;39;77.74073582987643
6.0;20.0;4.186161044077813;4;1.0465402610194532
7.0;5.0;0.0;2;0.0
7.0;6.0;288.7219896577198;27;10.693407024359992
7.0;7.0;6485.594681113024;59;109.92533357818685
7.0;8.0;19943.733070672246;60;332.39555117787074
7.0;9.0;32710.416153656737;59;554.4138331128261
7.0;10.0;45703.15193302141;59;774.6296937800239
7.0;11.0;34748.70721497168;36;965.2418670825466
7.0;12.0;39422.55602068456;36;1095.0710005745711
7.0;13.0;39447.303619798084;35;1127.0658177085168
7.0;14.0;43767.54493967002;40;1094.1886234917506
7.0;15.0;31661.53656734795;32;989.4230177296234
7.0;16.0;22264.590002462442;28;795.1639286593729
7.0;17.0;16701.05885249938;28;596.4663875892636
7.0;18.0;9057.128786013296;29;312.3147857245964
7.0;19.0;2350.529426249692;33;71.22816443180885
7.0;20.0;0.0;1;0.0
8.0;4.0;0.0;7;0.0
8.0;5.0;0.0;19;0.0
8.0;6.0;74.61216449150456;38;1.9634780129343306
8.0;7.0;3483.2553558236878;60;58.054255930394795
8.0;8.0;20073.504063038657;60;334.5584010506443
8.0;9.0;24339.3252893376;58;419.64353947133793
8.0;10.0;21794.878108840174;60;363.24796848066956
8.0;11.0;55434.12952474761;60;923.9021587457935
8.0;12.0;56781.82713617333;56;1013.961198860238
8.0;13.0;20595.17360256095;60;343.25289337601583
8.0;14.0;7977.961093326767;60;132.96601822211278
8.0;15.0;6386.973651809901;58;110.12023537603277
8.0;16.0;23706.106870229;60;395.1017811704833
8.0;17.0;24493.474513666588;60;408.2245752277765
8.0;18.0;13925.510957892144;60;232.0918492982024
8.0;19.0;3865.5503570549113;60;64.42583928424853
8.0;20.0;35.828613641960104;14;2.559186688711436
9.0;5.0;0.0;1;0.0
9.0;6.0;198.59640482639742;23;8.634626296799889
9.0;7.0;6662.275301649838;58;114.86681554568686
9.0;8.0;21737.50307805959;60;362.29171796765985
9.0;9.0;35272.7160797833;60;587.8786013297216
9.0;10.0;42567.471066239836;53;803.1598314384875
9.0;11.0;30504.063038660424;31;984.002033505175
9.0;12.0;46819.748830337354;43;1088.8313681473803
9.0;13.0;59496.42945087415;53;1122.574140582531
9.0;14.0;40386.60428465892;37;1091.529845531322
9.0;15.0;38925.01846835754;40;973.1254617089386
9.0;16.0;31400.393991627676;39;805.1383074776327
9.0;17.0;22438.315685791673;48;467.46491012065985
9.0;18.0;13648.731839448401;59;231.33443795675257
9.0;19.0;3064.762373799555;60;51.07937289665925
9.0;20.0;56.88254124599852;13;4.37558009584604
10.0;6.0;50.35705491258311;11;4.577914082962101
10.0;7.0;6460.600837232208;60;107.6766806205368
10.0;8.0;20376.631371583346;60;339.61052285972244
10.0;9.0;34322.580645161295;60;572.0430107526882
10.0;10.0;47875.5232701305;60;797.9253878355083
10.0;11.0;42965.279487810876;45;954.7839886180195
10.0;12.0;33917.75424772223;32;1059.9298202413197
10.0;13.0;38531.149963063275;35;1100.889998944665
10.0;14.0;26195.395222851515;25;1047.8158089140607
10.0;15.0;17325.781827136172;46;376.6474310246994
10.0;16.0;16817.409505048014;51;329.75312754996105
10.0;17.0;14864.072888451123;42;353.90649734407435
10.0;18.0;5784.905195764592;58;99.73974475456193
10.0;19.0;769.7611425757196;58;13.271743837512407
10.0;20.0;21.546417138635803;10;2.1546417138635805
10.0;22.0;0.0;4;0.0
10.0;23.0;0.0;8;0.0
11.0;0.0;0.0;31;0.0
11.0;1.0;0.0;6;0.0
11.0;2.0;0.0;5;0.0
11.0;3.0;0.0;1;0.0
11.0;4.0;0.0;5;0.0
11.0;5.0;0.0;1;0.0
11.0;6.0;79.66018222112778;28;2.8450065078974207
11.0;7.0;1775.1785274562906;60;29.586308790938176
11.0;8.0;10693.425264713123;60;178.22375441188538
11.0;9.0;29897.31593203645;60;498.2885988672742
11.0;10.0;34358.0398916523;50;687.160797833046
11.0;11.0;17365.304112287613;59;294.32718834385787
11.0;12.0;6926.49593696134;60;115.44159894935567
11.0;13.0;1440.4087663137154;51;28.243309143406186
11.0;14.0;1730.6082245752284;46;37.621917925548445
11.0;15.0;4739.59615858163;49;96.72645221595164
11.0;16.0;4254.740211770499;49;86.83143289327549
11.0;17.0;3510.957892144793;49;71.65220188050597
11.0;18.0;6837.10908643191;45;151.93575747626468
11.0;19.0;3118.074365919724;44;70.86532649817555
11.0;20.0;147.13124846097023;24;6.130468685873759
11.0;21.0;0.24624476729869488;25;0.009849790691947795
11.0;22.0;0.24624476729869488;14;0.017588911949906777
11.0;23.0;1.723713371090864;5;0.34474267421817284
12.0;0.0;0.0;1;0.0
12.0;1.0;0.0;1;0.0
12.0;3.0;0.0;1;0.0
12.0;4.0;0.0;3;0.0
12.0;5.0;0.0;8;0.0
12.0;6.0;1.969958138389559;15;0.13133054255930393
12.0;7.0;791.0613149470573;28;28.25218981953776
12.0;8.0;1801.0342280226544;40;45.02585570056636
12.0;9.0;3843.511450381679;45;85.41136556403731
12.0;10.0;4749.3228268899275;47;101.04942184872186
12.0;11.0;20339.202166953954;56;363.20003869560634
12.0;12.0;42248.95345973898;60;704.149224328983
12.0;13.0;58792.90815070178;60;979.8818025116964
12.0;14.0;27233.563161782815;60;453.8927193630469
12.0;15.0;10100.467865057868;60;168.3411310842978
12.0;16.0;8468.357547402118;60;141.13929245670198
12.0;17.0;9568.209800541737;60;159.4701633423623
12.0;18.0;6656.981039152915;60;110.94968398588192
12.0;19.0;1787.3676434375768;60;29.789460723959614
12.0;20.0;8.372322088155626;6;1.3953870146926042
12.0;21.0;0.0;5;0.0
13.0;4.0;0.0;12;0.0
13.0;5.0;0.6156119182467372;19;0.03240062727614407
13.0;6.0;157.96601822211275;40;3.949150455552819
13.0;7.0;7617.335631617828;60;126.95559386029713
13.0;8.0;16837.601575966513;60;280.6266929327752
13.0;9.0;34285.89017483378;60;571.4315029138963
13.0;10.0;50404.333907904445;60;840.0722317984074
13.0;11.0;62918.12361487319;60;1048.63539358122
13.0;12.0;47877.2469835016;60;797.9541163916933
13.0;13.0;38210.41615365673;60;636.8402692276122
13.0;14.0;32488.918985471548;60;541.4819830911924
13.0;15.0;53284.04333907905;60;888.0673889846508
13.0;16.0;41890.667323319365;60;698.1777887219894
13.0;17.0;31478.576705245014;58;542.734081124914
13.0;18.0;19962.570795370597;60;332.7095132561766
13.0;19.0;3701.9207091849294;60;61.69867848641549
13.0;20.0;12.681605515882787;6;2.113600919313798
14.0;2.0;0.0;1;0.0
14.0;6.0;80.39891652302387;14;5.742779751644562
14.0;7.0;5553.558236887466;55;100.97378612522665
14.0;8.0;19462.201428219647;60;324.3700238036608
14.0;9.0;33757.57202659444;60;562.6262004432407
14.0;10.0;42023.76262004433;54;778.2178262971172
14.0;11.0;37541.738488057126;39;962.608679180952
14.0;12.0;45868.505294262504;40;1146.7126323565626
14.0;13.0;36507.01797586801;32;1140.8443117458753
14.0;14.0;39802.75794139375;36;1105.6321650387154
14.0;15.0;15033.24304358532;32;469.78884511204126
14.0;16.0;16871.460231470082;58;290.88724537017384
14.0;17.0;8849.175080029549;60;147.4862513338258
14.0;18.0;3586.185668554542;60;59.7697611425757
14.0;19.0;1361.2410736271852;50;27.224821472543702
