,GHI_prom,Ghi estimado
97,430.9221866535336,90
98,685.8963309529674,119
99,708.3579578100633,230
100,969.7447262579004,511
101,788.6871049823527,772
102,455.5158827874908,917
103,360.8142493638677,998
104,113.34236230813434,903
105,12.558483132233436,662
106,105.46035700662928,0
107,218.84388081753252,0
108,396.413034556349,3
109,734.2854797668882,79
110,740.0599195600427,211
111,670.975950094394,498
112,894.6954773044406,706
113,909.8682590494952,867
114,369.3753591069523,910
115,357.44069605187553,866
116,221.5751456948206,738
117,134.3490929984404,754
118,29.26954847664033,679
119,52.2852766497356,0
120,280.8873019781662,0
121,470.0525322170236,6
122,653.0349667569565,114
123,803.9748009521464,341
124,880.8996142165308,576
125,843.8685052942621,791
126,940.115324632685,949
127,778.5213001723712,1013
128,248.12238364934748,1072
129,24.058113765082496,1027
130,9.60980638483466,789
131,62.435360748584095,0
132,266.01001395387016,0
133,454.6047771484856,5
134,637.9770992366413,110
135,768.224164819831,321
136,894.765246655175,554
137,977.5240088648112,757
138,587.174751703193,891
139,300.2708692440285,923
140,202.072560124764,944
141,76.33331281293607,656
142,44.30353771649018,0
143,80.25937782155461,0
144,296.8624312566691,4
145,431.9461544775505,70
146,651.2496921940406,191
147,797.7160797833046,372
148,692.0483460559798,631
149,178.21144217352054,828
150,17.93830525169137,914
151,139.70696872691454,820
152,180.8175326274317,206
153,109.24717502530848,41
154,10.927111548879584,132
155,47.30446891796653,0
156,211.3867684478372,0
157,451.2065993597636,4
158,493.950586883362,64
159,685.9312156283344,242
160,559.7102519904785,528
161,693.2693096938357,658
162,908.5323811868996,654
163,817.3007469424607,652
164,193.59558401050649,825
165,83.0604120495773,916
166,172.37544118854146,677
167,51.32695777153509,352
168,33.35957012699194,0
169,125.68948534843632,0
170,405.7744397931545,3
171,360.5454321595666,58
172,364.2555199868669,254
173,431.8209800541737,421
174,910.0324222276944,503
175,913.6358039891657,578
176,790.8643191332181,743
177,391.25420668144136,1018
178,157.76491832881885,936
179,54.21078552080769,765
180,23.29871249164526,687
181,14.95669303983812,0
182,67.35204793564805,0
183,310.6069933513912,4
184,628.9645407535088,77
185,824.3720758433881,168
186,860.7937289665928,374
187,973.5984568661248,722
188,497.3159320364441,884
189,117.62907329885904,908
190,219.1291143396536,755
191,41.97242058606256,322
192,13.849216120824106,167
193,17.569564146761877,183
194,50.58611981239584,0
195,184.3203644422556,1
196,327.731264877288,46
197,436.56119182467376,161
198,681.0925059509151,309
199,276.4548961667897,347
200,219.34047443158497,526
201,75.2831814823935,480
202,44.430764179594526,223
203,115.40671427398836,185
204,73.50816711811541,56
205,31.2484609702044,55
206,20.233111713042764,0
207,61.0009849790692,1
208,190.9361405236805,21
209,245.553229910531,63
210,435.82450956250506,139
211,772.260526963802,204
212,230.1957645900024,281
213,153.45153082163662,483
214,220.29467290486744,535
215,55.054173848805725,269
216,20.97595009439383,200
217,7.080793410691044,285
218,20.201079873394143,1
219,24.418565157214548,25
220,29.78125256504965,44
221,86.49142247393907,88
222,114.69465648854955,120
223,101.87146023147008,167
224,201.0732167774769,326
225,157.77928260691118,422
226,16.9436920298777,408
227,3.268606137357677,400
228,8.3442415445163,0
229,45.92259706147911,1
230,64.5653779857178,20
231,271.37814988098165,67
232,412.37379955675937,162
233,675.9439382746451,263
234,503.25248296807,602
235,334.37782155462526,752
236,129.3544283017319,765
237,158.0082316107926,600
238,14.713124846097022,0
239,108.48518427316752,0
240,335.7896248871378,2
241,522.7612246573093,61
242,441.6030534351144,162
243,599.5895920545021,344
244,86.11795124353608,515
245,84.80669785767051,543
246,60.01190183041943,457
247,86.65763769186573,360
248,54.25593039481242,333
249,18.27611382556367,90
250,9.061141910193866,107
251,10.01160868188694,0
252,32.37297874086842,0
253,176.78322252318807,2
254,335.5064434047442,60
255,646.1503734712301,244
256,633.6924402856438,465
257,461.6309611754084,704
258,699.5177706640403,828
259,475.272921283756,562
260,235.43462201428213,392
261,126.59238282853154,787
262,52.32906509070013,584
263,35.87689692966573,0
264,205.39276040384132,0
265,376.27431667077065,3
266,633.5918903389968,74
267,765.4374948699008,220
268,1035.3751128621852,365
269,745.3849626528769,595
270,566.4450463760979,727
271,128.72650414512017,840
272,114.08725272921286,728
273,134.42912254781243,275
274,102.15669375359104,54
275,58.42977920052532,71
276,0.0,48
277,0.0,1
278,0.0,0
279,67.31237516758324,0
280,286.1097430846261,0
281,528.8270540917672,3
282,756.6157760814247,89
283,937.9155380448163,305
284,1059.9195600426822,543
285,1101.8427316752854,759
286,1108.1424936386768,928
287,962.3758515964868,1036
288,795.4937207584339,1074
289,588.3526225067716,1025
290,344.3856193055896,858
291,62.92169416399898,769
292,0.2656851436643813,0
293,64.7192809652795,0
294,10.5804952731711,0
295,38.91077731264877,3
296,38.40802757941393,45
297,159.49068373963718,159
298,156.97488303373547,189
299,86.86284166461463,99
300,225.49043749486984,190
301,188.4326520561438,250
302,37.22026967533,133
303,55.33940737092669,224
304,20.96979397521136,203
305,2.4744596128551777,72
306,45.60676949251192,0
307,233.8340310268408,0
308,531.9605187556429,3
309,634.4003939916274,87
310,651.7934827218255,304
